gender,distance_m,open_seconds
F,1609.344,253
F,5000,834
F,6000,1010
F,6437.376,1089
F,8000,1365
F,8046.72,1375
F,10000,1726
F,11265.408,1950
F,12000,2084
F,15000,2629
F,16093.44,2832
F,20000,3557
F,21097.5,3772
F,25000,4500
F,30000,5450
F,42195,7796
F,50000,9390
F,80467.2,17100
F,100000,23591
F,150000,39700
F,160934.4,43500
F,200000,57600
M,1609.344,227
M,5000,769
M,6000,930
M,6437.376,1002
M,8000,1255
M,8046.72,1264
M,10000,1584
M,11265.408,1790
M,12000,1915
M,15000,2415
M,16093.44,2595
M,20000,3260
M,21097.5,3451
M,25000,4110
M,30000,4980
M,42195,7235
M,50000,8820
M,80467.2,16080
M,100000,21360
M,150000,36300
M,160934.4,39790
M,200000,52800
